fid,neighbours
2891686,"2891685,2891687,2893067,2893068"
2891687,"2891686,2891688,2893068,2893069"
2891688,"2891687,2891689,2893069,2893070"
2891689,"2891688,2891690,2893070,2893071"
2891690,"2891689,2891691"
2891691,"2891690"
2893039,"2891657,2891658,2893040"
2893040,"2891658,2891659,2893039"
2893041,"2891659"
2893042,"2891660,2891661,2893043"
2893043,"2891661,2891662,2893042,2893044"
2893044,"2891662,2891663,2893043,2893045"
2893045,"2891663,2893044"
2893047,"2891665,2891666,2893048"
2893048,"2891666,2891667,2893047,2893049"
2893049,"2891667,2891668,2893048,2893050"
2893050,"2891668,2891669,2893049,2893051"
2893051,"2891669,2891670,2893050,2893052"
2893052,"2891670,2891671,2893051,2893053"
2893053,"2891671,2891672,2893052,2893054"
2893054,"2891672,2891673,2893053,2893055"
2893055,"2891673,2891674,2893054,2893056"
2893056,"2891674,2891675,2893055,2893057"
2893057,"2891675,2891676,2893056,2893058"
2893058,"2891676,2891677,2893057,2893059"
2893059,"2891677,2891678,2893058,2893060"
2893060,"2891678,2891679,2893059,2893061"
2893061,"2891679,2891680,2893060,2893062"
2893062,"2891680,2891681,2893061,2893063"
2893063,"2891681,2891682,2893062,2893064"
2893064,"2891682,2891683,2893063,2893065"
