ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,population_children_under5,population_elder60plus,population_women,population_youth,population_reproductive_women,popden_all_total_population,Neighbors,HCFAI
2869562,Gayusan,Agno,Pangasinan,0.853294888,1.143231201,0.78782458,0.0,0,0,1,2877844,18.592597120590828,837253.165284,982568.3872499996,3862870.086744,1308529.837026001,1788835.2055200008,4519870.197045922,"2939938, 2939938, 2939937, 2938556, 2938557, 2939937, 2938556, 2938556, 2938556, 2938557, 2939938, 2938556, 2939937, 2939937, 2939939",0.499991227526305
2869563,Gayusan,Agno,Pangasinan,0.853294888,1.143231201,0.78782458,0.0,0,0,1,2877844,20.071043642784087,1411232.5900080015,1593326.6253179985,6209422.318476,2075877.390330002,2822465.180016003,4022095.687866211,"2944072, 2944071, 2945454, 2945453, 2944071, 2944072, 2944071, 2945453, 2944071, 2944073, 2944073, 2944072, 2944073, 2944072, 2945454, 2944073",0.4999949441875238
2869564,Allabon,Agno,Pangasinan,0.860151653,1.176558568,0.785176357,0.0,0,0,0,2877844,21.574358143360914,88203.452148,86724.658314,371316.710358,122201.707266,169158.626856,4403471.493188739,"2944071, 2944070, 2945453, 2945452, 2944070, 2944071, 2944072, 2944071, 2945453, 2945452, 2944070, 2944070, 2944071, 2944070, 2945452, 2944070, 2944070, 2944072, 2944072",0.4999757914230976
2869565,Allabon,Agno,Pangasinan,0.860151653,1.176558568,0.785176357,0.0,0,0,0,2877844,23.097685535442,268455.13452,174495.87648000004,1013418.26946,319461.68556,464427.4946399999,4165641.585774332,"2944070, 2945452, 2945451, 2944070, 2945451, 2944069, 2944071, 2944071, 2945452, 2944070, 2944069, 2944070, 2944069, 2944071, 2944070, 2945452, 2944070, 2944069, 2944069, 2944070, 2945451, 2944069",0.49997609702435647
2869566,Allabon,Agno,Pangasinan,0.860151653,1.176558568,0.785176357,0.0,0,0,0,2877844,24.63731390679464,0.0,0.0,0.0,0.0,0.0,1391774.2778711913,"2945454, 2945453, 2944072, 2945453, 2944073, 2945455, 2944073, 2945455, 2944072, 2944073, 2944072, 2945454, 2944073, 2945455",0.49993292817468604
2869567,Pogoruac,Burgos,Pangasinan,0.955769606,1.182768345,0.753957332,0.0,0,0,0,2877844,26.190368609161474,35512.394976,53493.37027199999,202735.8400319999,66979.205856,93501.11318400005,2511505.931104124,"2945453, 2945452, 2944071, 2944072, 2944071, 2945453, 2945452, 2944071, 2945452, 2944072, 2944072, 2945454",0.49996548855596157
2869568,Pogoruac,Burgos,Pangasinan,0.955769606,1.182768345,0.753957332,1.0,0,0,0,2877844,27.75459586017444,94660.28317800004,133369.74945000003,525532.3240499999,176366.534868,241717.233834,1917102.1861196456,"2945452, 2945451, 2944070, 2945451, 2944071, 2944071, 2945453, 2945452, 2944070, 2944070, 2944071, 2944070, 2945452, 2944070, 2944070, 2945451",0.5000009636673479
2869569,Pogoruac,Burgos,Pangasinan,0.955769606,1.182768345,0.753957332,1.0,0,0,1,2877844,29.32820804647239,68415.43089599999,51977.968056,302538.384072,133721.06238,148381.515576,3462404.6249109507,"2945451, 2945450, 2945450, 2944070, 2945451, 2945450, 2944069, 2945452, 2944070, 2944069, 2944070, 2944069, 2944070, 2945452, 2944070, 2944069, 2945450, 2944069, 2944070, 2945451, 2945450, 2944069",0.5000102027993
2869570,Osmena,Dasol,Pangasinan,1.003562473,0.715974867,0.748130425,0.0,0,0,0,2877844,30.909771847938888,49522.968054,43267.45059,206432.713998,61773.462702,90705.276522,1785223.6689640582,"2946836, 2946835, 2948218, 2948217, 2946835, 2948217, 2948218, 2948217, 2946837, 2946836, 2948218, 2946837",0.49996223646339155
2869571,Osmena,Dasol,Pangasinan,1.003562473,0.715974867,0.748130425,0.0,0,0,1,2877844,32.21780385019613,976309.9416359968,852986.8830600013,4069673.5045320056,1217819.6932680034,1788189.737147998,3259706.710683703,"2946835, 2946834, 2948217, 2948216, 2946835, 2946834, 2948217, 2948216, 2948217, 2946834, 2946836",0.4999958338299057
2870925,Patar,Bolinao,Pangasinan,1.185849846,1.096260428,0.695560596,0.0,0,0,1,2880597,10.690273975657997,1552647.607271999,1027642.011858,6102144.741059992,2204548.291926002,2891431.220238,3893324.995606184,"2946834, 2948216, 2946835, 2946834, 2948216, 2948215, 2946833, 2946833, 2946834, 2946833",0.4999909324626765
2870926,Patar,Bolinao,Pangasinan,1.185849846,1.096260428,0.695560596,0.0,0,1,1,2880597,11.54843011769162,18888.270802099298,12592.192465258386,80786.22330456604,29845.110342765216,38267.15463989135,2083915.247605384,"2948218, 2948217, 2948217, 2948218, 2948217, 2948219, 2946837, 2946836, 2948218, 2948219, 2946837",0.5000054503048756
2870927,Catuday,Bolinao,Pangasinan,0.747140191,1.094020117,0.705713799,1.0,0,0,0,2880597,12.45562444043438,0.0,0.0,0.0,0.0,0.0,1542703.2911117077,"2948217, 2948216, 2946835, 2948217, 2948216, 2948218, 2948217, 2946836, 2948218",0.5000237150897187
2870928,Catuday,Bolinao,Pangasinan,0.747140191,1.094020117,0.705713799,1.0,0,0,0,2877844,11.54866461466937,129320.01388800004,61597.136016,387960.0416640001,122854.03401600002,162330.59750399998,2772181.88143605,"2948216, 2946835, 2946834, 2948217, 2948216, 2948215, 2948217, 2946834",0.5000142337486901
