ID,Neighbors
2880600,"2880600, 2881981, 2881982, 2880601, 2879217, 2880599, 2881981, 2879218, 2880600, 2881982, 2881981, 2880601, 2879217, 2879218, 2880601"
2880606,"2880606, 2880607, 2881988, 2881987, 2879224, 2880605, 2879223, 2880605, 2880606, 2881987, 2879224, 2879223, 2880605, 2880605"
2880607,"2880607, 2880608, 2881989, 2881988, 2880608, 2879225, 2881989, 2880608, 2881989, 2880607, 2880608, 2879225, 2879224, 2879225, 2879224, 2880608, 2880608, 2879225, 2880606, 2880607, 2881988, 2879224, 2880606, 2879224"
2880608,"2880608, 2881989, 2879226, 2880608, 2881990, 2880609, 2879226, 2879225, 2881989, 2880608, 2881990, 2881989, 2880607, 2880608, 2879225, 2879226, 2880609, 2879225, 2880608, 2879226, 2880609, 2880608, 2879226, 2879225, 2880607"
2880609,"2880609, 2880610, 2881991, 2879226, 2880608, 2881990, 2881991, 2880608, 2879226, 2879227, 2880609, 2880610, 2880608, 2879226, 2880609, 2880608, 2879226, 2879227, 2880610"
2880610,"2880610, 2880611, 2881991, 2881992, 2879228, 2880611, 2881992, 2881991, 2879227, 2880609, 2880610, 2880611, 2881992, 2880609, 2879227, 2879228, 2880610, 2880611, 2879228"
2880611,"2880611, 2881993, 2881992, 2879228, 2880612, 2880611, 2879229, 2881992, 2880610, 2880612, 2880611, 2879229, 2881993, 2881992, 2879229, 2879228, 2880610, 2880611, 2879229, 2879228"
2880612,"2880612, 2880613, 2880611, 2881993, 2881994, 2880612, 2880611, 2879229, 2879230, 2880612, 2880613, 2880611, 2879229, 2881993, 2881994, 2879230, 2879229, 2880611, 2879229, 2880613"
2880616,"2880616, 2881998, 2879233, 2879234, 2880615, 2880616, 2880617, 2881998, 2881997, 2881998, 2881997, 2879234, 2880617, 2879233, 2880615, 2881997"
2880619,"2880619, 2879236, 2879237, 2880620, 2882000, 2879236, 2879237, 2880619, 2880620, 2882001, 2882000, 2880618, 2880619, 2882001, 2882000"
2880620,"2880620, 2880621, 2880621, 2879237, 2880619, 2880620, 2880621, 2882001, 2882002, 2880619, 2882001, 2880621"
2880621,"2880621, 2879239, 2880621, 2880622, 2880622, 2882003, 2880620, 2880621, 2880622, 2882003, 2882002, 2880621, 2880622, 2882003"
2880625,"2880625, 2882006, 2879242, 2879243, 2880625, 2882007, 2880626, 2880626, 2880624, 2879243, 2880626, 2880624, 2882006, 2880625, 2882007, 2882006, 2880626"
2880626,"2880626, 2880626, 2879244, 2880627, 2880627, 2879243, 2880626, 2879244, 2880627, 2882008, 2880625, 2882007, 2880626, 2880627, 2882008"
2880627,"2880627, 2880628, 2879245, 2880627, 2880628, 2880626, 2879244, 2880627, 2880628, 2882009, 2882008, 2880626, 2880627, 2882009, 2882008"
2880628,"2880628, 2879245, 2880627, 2880628, 2879246, 2880629, 2879246, 2880629, 2882010, 2880627, 2880628, 2880629, 2882010, 2882009, 2880627, 2882009"
2880629,"2880629, 2882011, 2880630, 2879246, 2880629, 2882011, 2880630, 2882010, 2880628, 2880629, 2882011, 2882010"
2880631,"2880631, 2882012, 2880630, 2880631"
2880635,"2880635, 2882017, 2882016, 2882017, 2882016, 2882016, 2880634, 2882016"
2881977,2881977
2881978,"2881978, 2880597, 2881979, 2881978, 2880596, 2880597, 2881979, 2881978, 2881979"
2881979,"2881979, 2881978, 2880597, 2880598, 2881980, 2881979, 2881978, 2880597, 2881979, 2881978, 2881980, 2881979"
2881980,"2881980, 2881979, 2880598, 2880599, 2881980, 2881979, 2881979, 2881981, 2881980, 2881979, 2881981"
2881981,"2881981, 2881980, 2881982, 2880599, 2881980, 2881981, 2881980, 2880600, 2881982, 2881981"
2881987,"2881987, 2880605, 2880605, 2880606, 2881987, 2880605, 2881986, 2880605, 2881986"
2881988,"2881988, 2881989, 2881989, 2880607, 2880606, 2880607, 2881988, 2881987, 2880606, 2881987"
2881989,"2881989, 2881988, 2880608, 2881990, 2881989, 2880608, 2881990, 2881989, 2880607, 2880608, 2880608, 2880608, 2880607, 2881988"
2881990,"2881990, 2880609, 2881991, 2881989, 2880608, 2881990, 2881989, 2881991, 2880608, 2880609, 2880608, 2880609, 2880608"
2881991,"2881991, 2881992, 2881992, 2881990, 2881991, 2880609, 2880610, 2881992, 2880609, 2880610"
2881995,"2881995, 2881994, 2881994, 2881995, 2881994, 2880613, 2881994, 2880613, 2881994, 2881996, 2881995, 2880613, 2880614"
2881996,"2881996, 2881995, 2880615, 2881997, 2880614"
2882000,"2882000, 2880619, 2882001, 2882000, 2880618, 2880619, 2881999, 2882001, 2882000"
2882001,"2882001, 2882000, 2882002, 2880619, 2882001, 2882000"
2882002,"2882002, 2882001, 2880621, 2882003"
2882003,"2882003, 2880621, 2880622, 2882003, 2882002, 2880621, 2880622, 2882004, 2882003"
2882007,"2882007, 2880626, 2880626, 2880626, 2882006, 2882008, 2880625, 2882007, 2882006, 2880626, 2882008"
2882008,"2882008, 2882007, 2880626, 2880627, 2882009, 2882008"
2882009,"2882009, 2882008, 2880627, 2882009, 2882008"
2882010,"2882010, 2880628, 2880629, 2882011, 2882010, 2882009, 2882009"
2882011,"2882011, 2880630, 2880629, 2882012, 2882011, 2880630, 2882010, 2880629, 2882011, 2882010"
2882014,"2882014, 2882013, 2882013, 2882014"
2882015,"2882015, 2882016, 2882015, 2882016, 2882015"
2882016,"2882016, 2882017, 2882016, 2882015, 2882016, 2882015, 2880634, 2882016, 2882015"
2882017,"2882017, 2882016, 2882017, 2882016, 2882016, 2882016"
2883358,"2883358, 2883359, 2884740, 2883358, 2883359"
2883359,"2883359, 2883360, 2884741, 2884740, 2884741, 2883358, 2883359"
2883360,"2883360, 2884742, 2883361, 2884742, 2883361, 2884741, 2884742, 2884741, 2883359"
2883361,"2883361, 2883360, 2884742, 2883361, 2884742, 2884743, 2883362, 2883361, 2884743, 2884742, 2884743"
2883362,"2883362, 2883361, 2884743, 2884744, 2884743"
2883363,"2883363, 2883362, 2884745, 2884744, 2883364, 2884745"
2883365,"2883365, 2883364, 2884746, 2883364, 2883365, 2883366, 2883366"
2883370,"2883370, 2884751, 2883371, 2883370, 2883371, 2884752, 2883370, 2883370, 2884751, 2883369, 2883369, 2883369"
2883371,"2883371, 2883370, 2883372, 2884753, 2883371, 2884752, 2883370, 2883372, 2883370"
2883372,"2883372, 2884753, 2883371, 2883373, 2883372, 2883373"
2883373,"2883373, 2883374, 2884755, 2883372, 2883373"
2883374,"2883374, 2884756, 2884755, 2884755, 2883375, 2883374, 2884756, 2884756, 2884756, 2884755, 2883373, 2883375, 2883374, 2884755, 2883373, 2883375"
2883377,"2883377, 2884758, 2883376, 2883377, 2884758, 2883376, 2883378, 2883378"
2883378,"2883378, 2883377, 2883377, 2883379, 2884760, 2883378, 2883379, 2883379, 2883378, 2883379"
2883379,"2883379, 2884761, 2883380, 2883380, 2884761, 2883380, 2884760, 2883378, 2883379, 2884761, 2883380, 2883379, 2883378, 2883379"
2883381,"2883381, 2884763, 2883380, 2884762, 2883381, 2883380, 2884762, 2883380, 2883381, 2884763, 2884763, 2883382, 2884762"
2883382,"2883382, 2883381, 2884763, 2883381, 2883381, 2884764, 2884763, 2883383, 2884764, 2884763, 2883382, 2883383, 2883383"
2883383,"2883383, 2884765, 2884764, 2883382, 2884765, 2884764, 2883383, 2884765, 2884764, 2883382, 2883384, 2883383, 2883383"
2883384,"2883384, 2883383, 2884766, 2884765, 2884765, 2883383, 2884765, 2883385, 2884766, 2883385, 2883384, 2883383, 2883383"
2883385,"2883385, 2883384, 2884767, 2884766, 2883385, 2884767, 2884766, 2883386, 2883385, 2883384, 2883386"
2883386,"2883386, 2883385, 2883387, 2884768, 2883386"
2883387,"2883387, 2884769, 2884768, 2883386"
2883391,"2883391, 2883392, 2884773, 2884772, 2883391, 2884773, 2884772, 2883390"
2883392,"2883392, 2884774, 2884773, 2883391, 2883393, 2883392, 2884774, 2884773, 2883391, 2884773"
2883393,"2883393, 2883392, 2884774, 2883393, 2883392, 2884774"
2883394,"2883394, 2884776, 2883394, 2884776, 2884775, 2883393, 2883393"
2883397,"2883397, 2884779, 2884778, 2883397, 2883396, 2884779, 2884778, 2883398, 2883397, 2883396, 2884779, 2883398, 2883397, 2884779, 2883398"
2883398,"2883398, 2884780, 2884780, 2883397, 2884779, 2883397, 2884779, 2883398, 2883397, 2884779, 2883398, 2884780, 2883397, 2884779, 2884780, 2883398"
2883399,"2883399, 2883398, 2884781, 2884780, 2884780, 2883398, 2883398, 2884780, 2884781, 2884780, 2883398"
2884739,2884739
2884740,"2884740, 2884741, 2883358, 2883359, 2884739"
2884741,"2884741, 2883359, 2883360, 2884742, 2884742, 2884741, 2884742, 2884740, 2884741, 2883359"
2884742,"2884742, 2883361, 2884742, 2884743, 2883361, 2884743, 2884741, 2884742, 2884743, 2884741"
2884743,"2884743, 2883362, 2883361, 2884743, 2884744, 2884742, 2884743"
2884746,"2884746, 2883364, 2883365, 2884745"
2884747,"2884747, 2883366, 2884748"
2884748,"2884748, 2883367"
2884749,"2884749, 2884748, 2883367"
2884751,"2884751, 2883370, 2884752, 2883370, 2883370, 2884751, 2883369, 2883369, 2883369"
2884752,"2884752, 2883370, 2884751, 2883371, 2883370, 2884753, 2883371, 2884752, 2883370, 2883370, 2884751"
2884753,"2884753, 2883371, 2884752, 2883372"
2884754,"2884754, 2883372, 2884753, 2883373, 2884755, 2883372, 2883373"
2884755,"2884755, 2884755, 2883374, 2884756, 2884756, 2884756, 2884755, 2884754, 2883373, 2883374, 2884755, 2883373"
2884756,"2884756, 2883374, 2884756, 2884755, 2884755, 2884757, 2884757, 2883375, 2883374, 2884757, 2884756, 2884756, 2884757, 2884756, 2884755, 2883375, 2883374, 2884755, 2883375"
2884758,"2884758, 2884757, 2883376, 2884757, 2883377, 2884758, 2884757, 2884757, 2883376"
2884759,"2884759, 2883378, 2883377, 2884758, 2883377, 2884758, 2884760, 2883378, 2883378"
2884760,"2884760, 2884760, 2884759, 2883378, 2883379, 2884761, 2884761, 2884760, 2883378, 2883379, 2884761, 2883379, 2883378, 2883379"
2884761,"2884761, 2883380, 2883380, 2884762, 2884761, 2883380, 2884760, 2883379, 2884762, 2884761, 2883380, 2883379, 2884762, 2883379"
2884764,"2884764, 2884763, 2884763, 2883382, 2884763, 2884765, 2884764, 2884763, 2883383, 2884765, 2884764, 2884763, 2883382, 2883383, 2883383"
2884765,"2884765, 2884764, 2884765, 2884764, 2883383, 2884765, 2884764, 2884766, 2883384, 2883383, 2883383"
2884766,"2884766, 2884765, 2884765, 2884765, 2883385, 2884767, 2884766, 2883385, 2883384"
2884767,"2884767, 2884766, 2884768, 2883385, 2884767, 2884766, 2884768, 2883386, 2883385, 2884768, 2883386"
2884768,"2884768, 2884767, 2884768, 2883386, 2883387, 2884769, 2884768, 2883386"
2884769,"2884769, 2884768, 2884768, 2883388, 2883387, 2884770, 2884769, 2884768, 2884770"
2884770,"2884770, 2884769, 2883389, 2883388, 2884770, 2884769, 2883389, 2884771, 2884770"
2884772,"2884772, 2884771, 2883391, 2884773, 2884772, 2883390"
2884773,"2884773, 2883391, 2883392, 2884774, 2884773, 2884772, 2883391, 2884773, 2884772"
2884774,"2884774, 2884773, 2883393, 2883392, 2884774, 2884773, 2884773"
