ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3114088,Canadam,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.006545526898847,0.007157854,1.215606972,0.540876957,0.0,0,0,0,3086463,37.46092961770618,0.45109590714389713
3114089,Fely (Pob.),Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.006145866413135,0.006781264,1.236000354,0.532438027,0.0,0,0,0,3086463,36.39812201989763,0.45124824760791354
3114090,Fely (Pob.),Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.005081606482337,0.006781264,1.236000354,0.532438027,0.0,0,0,0,3086463,35.380359831757616,0.45124824760791354
3114091,Diana,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.00676447357802,0.006745481,1.258960847,0.549753655,0.0,0,0,0,3086463,34.411640092232055,0.44927944222059896
3114092,Diana,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.032297350765255,0.006745481,1.258960847,0.549753655,0.0,0,0,0,3086463,33.4962180384608,0.44927944222059896
3114093,Diana,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.040423137418412,0.006745481,1.258960847,0.549753655,0.0,0,0,0,3086463,32.63857854165072,0.44927944222059896
3114094,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.042669593391998,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,31.84339072902217,0.40343583989548776
3114095,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.013536782591636,0.645735815,1.446104679,0.705749041,0.0,0,0,1,3086463,31.115443028351866,0.44769007638468117
3114096,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.014153138132721,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,30.45955670513164,0.40343583989548776
3114097,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.013625680977843,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,29.88047745357329,0.40343583989548776
3114098,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.007141320435039,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,29.38274680243364,0.40343583989548776
3114099,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.00298854187713,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.97055790530677,0.40343583989548776
3114100,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.003176392099963,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.64760339336225,0.40343583989548776
3114101,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.002948163713639,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.416925844207007,0.40343583989548776
3114102,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.002860779300351,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.280783376051165,0.40343583989548776
3114103,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.002883138744141,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.24054323538688,0.40343583989548776
3114104,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.005446134713189,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.296614573071967,0.40343583989548776
3114105,Villa Imelda (Maplas),City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.006361189932595,0.645735815,1.446104679,0.705749041,0.0,0,0,0,3086463,28.448427914862965,0.40343583989548776
3114106,Sindon Bayabo,City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.00886261218934,0.506870402,1.600922939,0.81700374,0.0,0,0,0,3086463,28.69446368345631,0.3984169905164976
3114107,Sindon Bayabo,City of Ilagan,Isabela,0.0,0.0,0.0,0.0,0.0,0.016748615392326,0.506870402,1.600922939,0.81700374,0.0,0,0,0,3086463,29.032326505472504,0.3984169905164976
3114108,Minanga,San Mariano,Isabela,0.0,0.0,0.0,0.0,0.0,0.036266209570588,0.677184728,1.683771192,0.833144691,0.0,0,0,0,3086463,29.458857068888143,0.38866785186333774
3114109,Minanga,San Mariano,Isabela,0.0,0.0,0.0,0.0,0.0,0.042655217115368,0.677184728,1.683771192,0.833144691,0.0,0,0,0,3086463,29.97026991530336,0.38866785186333774
3114110,Minanga,San Mariano,Isabela,0.0,0.0,0.0,0.0,0.0,0.059947471831228,0.677184728,1.683771192,0.833144691,1.0,0,0,0,3086463,30.562304225191408,0.502909369793242
3114111,Dibuluan,San Mariano,Isabela,0.885919,0.247757,2.485077,1.11866,1.174969,0.142702737752719,0.454649525,1.721219824,0.788400748,1.0,0,0,0,3086463,31.230375315317648,0.5172484478490453
3114112,Dibuluan,San Mariano,Isabela,0.726134714285714,0.210625571428571,2.061264619047618,0.920073571428571,0.970844476190476,0.243333942777124,0.454649525,1.721219824,0.788400748,1.0,0,0,0,3086463,31.969716723844925,0.5172484478490453
3114113,Dibuluan,San Mariano,Isabela,0.625101205882353,0.183847735294118,1.879792205882352,0.851939529411765,0.897238676470588,0.247763595907952,0.454649525,1.721219824,0.788400748,1.0,0,0,1,3086463,32.77550571713171,0.5653284337183552
3114114,Dibuluan,San Mariano,Isabela,0.673666,0.182408,2.342284,1.133831,1.173215,0.426819488820102,0.454649525,1.721219824,0.788400748,1.0,0,0,0,3086463,33.642968142337445,0.5172484478490453
3114115,Disulap,San Mariano,Isabela,0.673665999999998,0.182408,2.342284000000005,1.133830999999996,1.173214999999999,1.144450729674306,0.418487776,1.7504282,0.891101169,1.0,0,0,0,3086463,34.56746127356252,0.5098273181997913
3114116,Disulap,San Mariano,Isabela,0.692416333333334,0.180948208333333,2.260006458333334,1.038462458333333,1.136679583333334,0.665304876941298,0.418487776,1.7504282,0.891101169,1.0,0,0,0,3086463,35.544535384355804,0.5098273181997913
