ID,barangay_name,city_name,province_name,children,elderly,women,youth,women_rep,ph_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2911299,Banuang Daan,Coron,Palawan,0.675668,0.242548,2.258002,0.912441,1.027939,0.18904438215707,0.694568878,1.529193878,0.776632689,0.0,0,0,0,2911299,0.102704209914501
2911300,Cabugao,Coron,Palawan,,,,,,0.688500380286804,1.107000399,1.49578194,0.698629779,1.0,0,0,0,2911300,0.0593967446253881
2911310,Bulalacao,Coron,Palawan,,,,,,1.290854397416115,1.253846567,1.392168318,0.607303503,1.0,0,0,0,2911310,0.12910767965402
2911311,Bulalacao,Coron,Palawan,1.327595,0.350485,4.673135,1.890495,2.191417,0.573762788013978,1.253846567,1.392168318,0.607303503,0.0,0,0,0,2911311,0.0522843560678808
2911331,Nangalao,Linapacan,Palawan,,,,,,2.536735565889449,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2911331,0.0165196550785623
2911332,Nangalao,Linapacan,Palawan,,,,,,2.696776588757833,0.801097405,1.11516428,0.502533381,0.0,0,0,0,2911332,0.0121673786059752
2912554,Tilik,Lubang,Occidental Mindoro,0.514588,0.705484,2.694673,0.982145,1.225605999999999,1.428718866528691,0.9316639,1.141190806,0.831494864,0.0,0,0,1,2912554,0.353560422974946
2912555,Tilik,Lubang,Occidental Mindoro,0.514588,0.705484,2.694673,0.982145,1.225606,0.737128851279892,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2912555,0.137250594232352
2912556,Tilik,Lubang,Occidental Mindoro,,,,,,0.077932208789545,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2912556,1.76387036135719e-13
2912557,Balikyas,Looc,Occidental Mindoro,,,,,,0.050416104010188,0.597211557,1.140780198,0.81347881,1.0,0,0,0,2912557,0.0
2912558,Balikyas,Looc,Occidental Mindoro,,,,,,0.045218117574466,0.597211557,1.140780198,0.81347881,1.0,0,0,0,2912558,1.76387036135719e-13
2912559,Agkawayan,Looc,Occidental Mindoro,,,,,,0.048026002512166,0.904624548,1.1636132,0.803689771,0.0,0,0,0,2912559,3.53119252381292e-13
2912560,Kanluran (Pob.),Looc,Occidental Mindoro,,,,,,0.190654615367142,0.920673999,1.187316528,0.791184851,0.0,0,0,0,2912560,0.187752487231063
2912561,Kanluran (Pob.),Looc,Occidental Mindoro,,,,,,0.539181808630625,0.920673999,1.187316528,0.791184851,0.0,0,0,0,2912561,0.114610802763041
2912661,Malawig,Coron,Palawan,,,,,,0.264281990046197,0.006706372,1.393747648,0.713397327,1.0,0,0,0,2912661,0.168901485077276
2912662,Malawig,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.313501640169442,0.006706372,1.393747648,0.713397327,1.0,0,0,0,2912662,0.200411519753865
2912663,Malawig,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.459828638836094,0.006706372,1.393747648,0.713397327,1.0,0,0,0,2912663,0.162166627937608
2912664,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.181575451046228,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2914047,1.03443647668123
2912665,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.114506661194947,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2912665,0.196580588392294
2912666,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.123521793234561,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2912666,0.15160692313371
2912667,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557988999999999,0.609181,0.390882725370865,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2912667,0.316086614661343
2912668,San Nicolas,Coron,Palawan,0.337865,0.127979,1.315626,0.557988999999999,0.609181,0.146673693052597,0.887319886,1.528612256,0.891769144,0.0,0,0,0,2912668,0.0
2912669,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.238964353296445,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2912669,5.29506288517012e-13
2912670,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.719019172250802,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2912670,0.0
2912671,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.565825361968346,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2912671,0.0
2912672,Guadalupe,Coron,Palawan,,,,,,0.200249251585903,1.016505373,1.411770843,0.975735755,1.0,0,0,0,2912672,1.76387036135719e-13
2912673,Barangay VI (Pob.),Coron,Palawan,,,,,,0.263328084365485,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2912673,3.5346443249114697e-13
2912674,Barangay VI (Pob.),Coron,Palawan,2.15422923404255,0.84935914893617,9.02447753191489,3.765258531914892,4.832695063829786,3.330468788425973,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2912674,1.76387036135719e-13
2912675,Barangay VI (Pob.),Coron,Palawan,1.36655674074075,0.780798413580245,6.43340606172839,2.718083561728398,3.486509265432096,6.080133689792022,1.024707842,1.448780775,0.917050824,1.0,0,1,0,2912675,3.52774072271438e-13
2912676,Barangay VI (Pob.),Coron,Palawan,0.286093523809526,0.08725642857143,1.16711376190474,0.51271161904762,0.619522238095231,3.048456571969885,1.024707842,1.448780775,0.917050824,1.0,0,0,1,2912676,1.76732216245574e-13
2912677,Barangay I (Pob.),Coron,Palawan,0.424175062240665,0.143075526970954,1.62069590456431,0.698797265560166,0.833104771784233,7.583820182626898,1.02691988,1.447841525,0.886144273,1.0,0,0,1,2912677,0.189191448601925
