ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3176810,Olandao,Basay,Negros Oriental,19.807138,11.318365,75.29173,33.21694,36.415608,0.958754530123302,0.751099731,0.619150718,1.095847726,1.0,0,0,0,3187871,14.354859811126913
3176811,Olandao,Basay,Negros Oriental,14.738478999999998,8.391378333333334,56.01360233333333,24.67075433333333,26.859586666666665,1.165049586764404,0.751099731,0.619150718,1.095847726,1.0,0,0,1,3187871,13.421319960822537
3176812,Olandao,Basay,Negros Oriental,4.555399952380954,2.485453190476191,17.185676809523812,7.406199666666668,7.68016942857143,1.116028710561139,0.751099731,0.619150718,1.095847726,1.0,0,0,1,3187871,12.634985777165694
3176813,Olandao,Basay,Negros Oriental,4.12067,1.991911,14.60481,5.770458,7.040111,0.999038430409772,0.751099731,0.619150718,1.095847726,1.0,0,0,1,3187871,12.02477062727714
3176814,Actin,Basay,Negros Oriental,4.12067,1.991911000000001,14.604809999999992,5.770457999999998,7.040110999999998,3.154618080033631,0.793061992,0.618180699,1.07826082,1.0,0,0,1,3187871,11.63230792702016
3178181,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.250330491763789,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,27.268058685211944
3178182,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.237200317614608,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,26.302563050652072
3178183,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.1905983638721,0.557591651,0.612266281,1.146668482,1.0,0,0,1,3187871,24.81013771782693
3178184,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.21673790008894,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,23.310148052723072
3178185,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.273904773273638,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,21.831725530856872
3178186,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.398314667280231,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,20.37956442059784
3178187,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.526839600822755,0.557591651,0.612266281,1.146668482,1.0,0,0,1,3187871,18.95969992765572
3178188,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.510976415872574,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,17.57995921284093
3178189,Tayawan,City of Bayawan (Tulong),Negros Oriental,12.886218222222222,6.471535111111112,48.995942777777785,20.18084555555556,21.748680222222223,2.400121330044099,0.557591651,0.612266281,1.146668482,1.0,0,0,1,3187871,16.25056552425911
3178190,Olandao,Basay,Negros Oriental,19.807138,11.318365,75.29173,33.21694,36.415608,1.882685666594558,0.751099731,0.619150718,1.095847726,1.0,0,0,1,3187871,14.984924534172974
3178191,Olandao,Basay,Negros Oriental,19.807138,11.318365,75.29173,33.21694,36.415608,1.33337180529322,0.751099731,0.619150718,1.095847726,1.0,0,0,0,3187871,13.80058753761696
3178192,Minaba,City of Bayawan (Tulong),Negros Oriental,19.807138,11.318365,75.29173,33.21694,36.415608,2.552818328676258,0.639959867,0.625439397,1.139131685,1.0,0,0,0,3187871,12.720284559379714
3178193,Minaba,City of Bayawan (Tulong),Negros Oriental,3.395244,1.821407,14.28832,6.472185,7.197211,1.744996422954968,0.639959867,0.625439397,1.139131685,1.0,0,0,0,3187871,11.772690096424654
3178194,San Miguel,City of Bayawan (Tulong),Negros Oriental,4.601161,2.537405,17.457347,7.578383,7.747544,1.713848894601191,0.698589774,0.626605715,1.107551027,1.0,0,0,0,3187871,10.992178811976684
3178195,San Miguel,City of Bayawan (Tulong),Negros Oriental,3.590264562499999,1.796203937500001,12.890843812499996,5.1396043125,6.230085874999998,2.339577826342994,0.698589774,0.626605715,1.107551027,1.0,0,0,0,3187871,10.416377883001466
3178196,Pagatban,City of Bayawan (Tulong),Negros Oriental,1.291841,0.94814,5.463657,2.405905,2.719977,4.87679629005603,1.524789748,0.624870709,1.105435103,0.0,0,0,0,3187871,9.966024030544606
3179563,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,2.520733,1.035181,9.578785,4.496987,4.759143,0.30233204032521,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,27.869161082594218
3179564,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.271832185413908,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,26.598508229835275
3179565,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.339514995951738,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,25.042753542744872
3179566,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565000000002,3.242514,3.529826,0.242029594523566,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,23.499776626800905
3179567,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.300095703878573,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,21.972269562467453
3179568,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.546887442788907,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,20.463696875270305
3179569,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565000000006,3.242514,3.529826,0.626798128105992,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,18.97857428502946
3179570,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099131999999999,0.976272000000001,7.836565000000006,3.242514,3.529826000000001,0.871764654472629,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,17.522865237865176
3179571,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.58152082785964,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,16.10454788899785
3179572,Minaba,City of Bayawan (Tulong),Negros Oriental,,,,,,1.359057593600181,0.639959867,0.625439397,1.139131685,1.0,0,0,0,3187871,14.734424038127
3179573,Minaba,City of Bayawan (Tulong),Negros Oriental,,,,,,2.733561387801082,0.639959867,0.625439397,1.139131685,1.0,0,0,1,3187871,13.427254871044925
3179574,Minaba,City of Bayawan (Tulong),Negros Oriental,2.794003,1.5959415,11.7153615,5.035395,5.641057,1.397911469389111,0.639959867,0.625439397,1.139131685,1.0,0,0,0,3187871,12.20328758027606
3179575,Minaba,City of Bayawan (Tulong),Negros Oriental,3.395243999999999,1.821407,14.28832,6.472184999999998,7.197210999999998,1.039980768305915,0.639959867,0.625439397,1.139131685,1.0,0,0,0,3187871,11.090104375857536
3179576,San Miguel,City of Bayawan (Tulong),Negros Oriental,3.395244,1.821407,14.28832,6.472184999999998,7.197211000000002,1.063645814572062,0.698589774,0.626605715,1.107551027,1.0,0,0,0,3187871,10.124314071590849
3179577,San Miguel,City of Bayawan (Tulong),Negros Oriental,2.630370181818182,1.503855363636364,11.079351636363636,4.993537727272726,5.56912590909091,0.603996054189546,0.698589774,0.626605715,1.107551027,1.0,0,0,0,3187871,9.351694443862543
3179578,Pagatban,City of Bayawan (Tulong),Negros Oriental,1.291841,0.94814,5.463657000000006,2.405905000000002,2.719977,1.854168931927,1.524789748,0.624870709,1.105435103,1.0,0,0,1,3187871,8.823131668994089
3179579,Pagatban,City of Bayawan (Tulong),Negros Oriental,1.291841,0.94814,5.463657,2.405905,2.719977,3.189595023790995,1.524789748,0.624870709,1.105435103,0.0,0,0,0,3187871,8.468869983568773
3180943,Villasol (Bato),City of Bayawan (Tulong),Negros Oriental,1.432914,0.683244,5.129071,2.075827,2.341533,0.416314252011188,0.651211359,0.622550883,1.271652876,1.0,0,0,0,3187871,29.740946642600683
3180944,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,1.432914,0.683244,5.129071000000002,2.075827,2.341533000000001,0.369520779005022,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,28.52046218742827
3180945,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,3.32436,1.323225,12.300131,4.895282,5.325494,0.483730999388304,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,26.967341833218185
3180946,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,3.32436,1.323225,12.300131,4.895282,5.325494,0.53655993462052,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,25.380630315676356
3180947,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,3.32436,1.323225,12.300131,4.895282,5.325494,0.394161902687379,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,23.802444395964116
3180948,Kalamtukan,City of Bayawan (Tulong),Negros Oriental,2.303336666666667,1.0340975,8.580492666666666,3.517975333333334,3.829104,0.29276403005225,0.935169962,0.616614819,1.218566045,1.0,0,0,0,3187871,22.234599562574573
3180949,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565,3.242514,3.529826,0.353931643678624,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,20.67944803006792
3180950,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099132,0.976272,7.836565000000002,3.242514,3.529826,0.441473394313029,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,19.140084083805554
3180951,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099131999999998,0.976272,7.836565,3.242514,3.529826000000007,0.78317802431328,0.557591651,0.612266281,1.146668482,1.0,0,0,1,3187871,17.62064588995789
3180952,Tayawan,City of Bayawan (Tulong),Negros Oriental,2.099131999999998,0.976272,7.836564999999994,3.242514000000002,3.529826000000008,1.067026572461639,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,16.126766554732686
